Rank,Player,AST
221.,Tom Henderson,3136
222.,Richard Hamilton,3125
223.,Fred VanVleet,3121
224.,Toni Kukoc*,3119
225.,Quinn Buckner,3114
226.,Foots Walker,3111
227.,Julius Randle,3108
228.,Clifford Robinson,3094
229.,John Starks,3085
230.,Phil Ford,3083
231.,Marcus Smart,3080
,Darnell Valentine,3080
233.,Dolph Schayes*,3072
234.,Dick Van Arsdale,3060
235.,Hakeem Olajuwon*,3058
236.,Blake Griffin,3055
237.,Jamal Murray,3044
,Ish Smith,3044
239.,Elfrid Payton,3034
240.,Shaquille O'Neal*,3026
241.,Nikola Vucevic,3025
242.,Jeff Mullins,3023
243.,Gary Grant,3013
244.,Bob Lanier*,3007
245.,Lionel Hollins,3006
246.,Greg Anthony,2997
,Johnny Dawkins,2997
248.,Marc Gasol,2996
249.,Doug Christie,2992
250.,Rolando Blackman,2981


"Provided by <a href=""https://www.sports-reference.com/sharing.html?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool"">Basketball-Reference.com</a>: <a href=""https://www.basketball-reference.com/leaders/ast_career.html?sr&utm_source=direct&utm_medium=Share&utm_campaign=ShareTool#nba"">View Original Table</a><br>Generated 6/4/2026."
