Rank,Player,PTS
218.,Khris Middleton,13541
219.,Dave Cowens*,13516
220.,Jaylen Brown,13474
221.,Baron Davis,13447
,Cliff Hagan*,13447
223.,Steve Smith,13430
224.,Shai Gilgeous-Alexander,13411
225.,Vlade Divac*,13398
226.,Rudy Tomjanovich*,13383
227.,Luol Deng,13361
228.,Jermaine O'Neal,13309
229.,Al Harrington,13237
230.,Jalen Rose,13220
231.,Corey Maggette,13198
232.,Kevin Johnson,13127
233.,Metta World Peace,13058
234.,Jeff Mullins,13017
235.,Horace Grant,12996
,Josh Smith,12996
237.,Stephen Jackson,12976
238.,Bob Boozer,12964
239.,Kendall Gill,12914
240.,Derrick Coleman,12884
241.,Wayman Tisdale,12878
242.,Rik Smits,12871
243.,Jonas Valanciunas,12846
244.,Pascal Siakam,12810
,Mychal Thompson,12810
246.,Paul Westphal*,12809
247.,Sidney Wicks,12803
248.,DeMarcus Cousins,12802
249.,Lamar Odom,12781
250.,Mickey Johnson,12748


"Provided by <a href=""https://www.sports-reference.com/sharing.html?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool"">Basketball-Reference.com</a>: <a href=""https://www.basketball-reference.com/leaders/pts_career.html?sr&utm_source=direct&utm_medium=Share&utm_campaign=ShareTool#nba"">View Original Table</a><br>Generated 6/4/2026."
