Rank,Player,TOV
220.,Andre Drummond,1683
221.,Devin Harris,1682
222.,Eric Gordon,1679
223.,Brian Shaw,1664
224.,Vernon Maxwell,1663
225.,David West,1660
226.,Tyson Chandler,1656
,Joel Embiid,1656
,Johnny Newman,1656
229.,Doc Rivers,1651
230.,Kenny Smith,1649
231.,LaSalle Thompson,1646
,Gus Williams,1646
233.,Donovan Mitchell,1645
234.,LaMarcus Aldridge,1643
,Jason Williams,1643
236.,Thaddeus Young,1641
237.,Darrell Griffith,1632
238.,Rodney Rogers,1631
239.,Michael Finley,1629
240.,Grant Long,1628
241.,Marques Johnson,1627
242.,Antonio McDyess,1623
,Spud Webb,1623
244.,Darryl Dawkins,1621
245.,Kirk Hinrich,1617
246.,Anthony Davis,1614
247.,De'Aaron Fox,1613
248.,Rick Fox,1611
,Al Horford,1611
250.,Ricky Davis,1606


"Provided by <a href=""https://www.sports-reference.com/sharing.html?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool"">Basketball-Reference.com</a>: <a href=""https://www.basketball-reference.com/leaders/tov_career.html?sr&utm_source=direct&utm_medium=Share&utm_campaign=ShareTool#nba"">View Original Table</a><br>Generated 6/4/2026."
