Rk,Player,G
232.,Rick Fox,930
233.,Matt Barnes,929
,Armen Gilliam,929
,Tom Van Arsdale,929
236.,Thurl Bailey,928
,John Lucas,928
238.,Bill Bridges,926
,Earl Monroe*,926
,James Worthy*,926
241.,Bob Cousy*,924
242.,Mark Aguirre,923
,Jalen Rose,923
244.,Richard Hamilton,921
,Patty Mills,921
,Dick Van Arsdale,921
247.,Larry Nance,920
248.,Serge Ibaka,919
,Robert Reid,919
250.,Danny Ferry,917
