Rank,Player,DRB
219.,George McGinnis*,3576
220.,Mark West,3562
221.,Ivica Zubac,3553
222.,Pascal Siakam,3548
223.,Julius Erving*,3534
224.,Shawn Bradley,3525
225.,Jrue Holiday,3516
226.,Dave Corzine,3515
227.,Mike Dunleavy,3513
228.,Larry Johnson,3506
229.,Wayman Tisdale,3500
230.,Greg Monroe,3494
231.,Kenny Carr,3493
232.,Jamaal Wilkes*,3490
233.,Steven Adams,3481
,Bismack Biyombo,3481
235.,P.J. Tucker,3474
236.,Ervin Johnson,3471
237.,Rodney McCray,3442
238.,Glen Rice,3441
239.,Rajon Rondo,3439
240.,Greg Ballard,3424
241.,Andre Miller,3422
242.,Josh Hart,3415
243.,Thurl Bailey,3414
244.,Loy Vaught,3399
245.,Khris Middleton,3398
246.,Boris Diaw,3376
247.,Aaron Gordon,3373
248.,Bernard King*,3356
249.,Deandre Ayton,3338
250.,Jimmy Butler,3329
,Gar Heard,3329


"Provided by <a href=""https://www.sports-reference.com/sharing.html?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool"">Basketball-Reference.com</a>: <a href=""https://www.basketball-reference.com/leaders/drb_career.html?sr&utm_source=direct&utm_medium=Share&utm_campaign=ShareTool#nba"">View Original Table</a><br>Generated 6/4/2026."
