Rank,Player,STL
229.,Sidney Moncrief*,924
230.,George McGinnis*,923
,Kemba Walker,923
232.,Spud Webb,922
233.,Christian Laettner,917
,Chris Morris,917
,James Posey,917
236.,P.J. Brown,912
,John Long,912
,Aaron McKie,912
239.,World B. Free,910
,Darnell Valentine,910
241.,Gerald Wilkins,907
242.,T.J. McConnell,905
243.,Joe Dumars*,902
244.,Steve Nash*,899
245.,Al Horford,896
246.,Kenyon Martin,893
247.,Marques Johnson,888
248.,Greg Anthony,887
249.,Bradley Beal,885
,Tom Chambers,885


"Provided by <a href=""https://www.sports-reference.com/sharing.html?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool"">Basketball-Reference.com</a>: <a href=""https://www.basketball-reference.com/leaders/stl_career.html?sr&utm_source=direct&utm_medium=Share&utm_campaign=ShareTool#nba"">View Original Table</a><br>Generated 6/4/2026."
